시도,시군구,지역화폐명,site,content,,,소관기관,신청방법: 구비서류,접수/문의: 접수기관,주요내용: 접수기관,주요내용: 지원형태,지원내용: 지원내용,지원대상: 중복혜택 안돼요,지원대상: 지원대상,신청기간,신청방법,문의처
경기,성남,성남사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/378000000158?administOrgCd=,성남사랑상품권 사용자가 구매 시 6% 할인혜택 제공,,,경기도 성남시,정보 없음,온라인신청,온라인신청,이용권,○ 성남사랑상품권 구매 시 6% 할인판매,정보 없음,○ 성남사랑상품권 사용자,상시신청,"○ 온라인 신청 - 지역상품권 chak을 통한 온라인 구매    ○ 방문 신청   - 관내 농협, 신협, 새마을금고 방문구매",상권지원과 (☎031-729-2594)
전남,광양,광양사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/484000000124?administOrgCd=,광양사랑상품권 10% 할인 지원(후 캐시백),,,전라남도 광양시,정보 없음,27개 판매처,27개 판매처,"현금, 이용권",○ 광양사랑상품권 구매시 10% 할인,정보 없음,○ 광양사랑상품권 구매자 누구나,상시신청,"온라인/ 오프라인 구매  (판매대행점: 농협 29, 광주은행 3, 새마을금고 9, 신협2)",투자경제과 (☎061-797-3351)
경기,수원,수원페이,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/374000000141?administOrgCd=,"소비자에게 구입 충전 시 인센티브를, 가맹점에게 수수료 절감 혜택 제공",,,경기도 수원시,정보 없음,"경기지역화폐 앱, 수원시 소재의 중소기업은행(12개소), 농협중앙회(21개소)","경기지역화폐 앱, 수원시 소재의 중소기업은행(12개소), 농협중앙회(21개소)",이용권,"○ 소비자 : 구입 충전 시 6~10% 인센티브 지급    ○ 가맹점 : 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상이면 누구든지 발급 가능,상시신청,○ 온라인 신청   - 경기지역화폐 앱    ○ 방문 신청   - 기타 : 수원시 소재의 중소기업은행(12개소). 농협중앙회(21개소),지역경제정책팀 (☎031-228-2752)
경남,양산,양산사랑카드,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/538000000121?administOrgCd=,양산사랑카드 사용자에게 충전 시 포인트 지급,,,경상남도 양산시,정보 없음,모바일앱,정보 없음,이용권,○ 양산사랑카드 충전시 포인트 지급,정보 없음,○ 양산사랑카드사용자,상시신청,○ 기타   - 양산사랑상품권카드 신청 후 충전,일자리경제과 (☎055-392-2302)
경기,부천,부천페이,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/386000000122?administOrgCd=,부천페이 충전금의 6~10% 인센티브 지급,,,경기도 부천시,정보 없음,온라인신청 등,정보 없음,기타,○ 부천페이 충전금의 6~10% 인센티브 지급,정보 없음,○ 부천페이 충전자,상시신청,○ 온라인 신청   - 경기지역화폐 앱  ○ 오프라인 신청   - 농협은행 14개 지점,생활경제과 (☎032-625-2729)
경기,파주,파주페이,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/406000000112?administOrgCd=,"소비자에게 인센티브 및 소득공제, 가맹점에 수수료 절감 등 혜택 지원",,,경기도 파주시,정보 없음,지역농협 등 48개소,지역농협 등 48개소,기타,"○ 소비자   - 구입 충전 시 상시 10% 인센티브 지급   - 연말정산 시 소득 공제 30%    ○ 가맹점 - 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 본인 명의의 계좌를 가지고 있는 만14세 이상 누구나,상시신청,○ 방문 신청   - 기타 : 파주시 관내 농협 등 48개소    * 경기지역화폐 앱(App),일자리경제과 (☎031-940-4522)
경남,창원,창원사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/567000000122?administOrgCd=,만 14세 이상 누구나,,,경상남도 창원시,○ 모바일 상품권 : 별도 없음(상품권 구매앱에서 구매 가능),모바일 상품권 앱,정보 없음,이용권,○ 창원사랑상품권 누비전 할인 구입  (현행)할인율 : 개인 7%  발행계획에 따라 할인율 변동 가능,정보 없음,○ 만 14세 이상,상품권 발행예정 2주 전 창원시청 홈페이지 게재,"○ 온라인 신청  - 모바일 앱에서 상품권 구매(창원누비전 전용앱, 비플제로페이, 경남지역상품권, 체크페이, 올원뱅크, 모바일뱅크 등)",지역경제과 (☎055-225-3398)
충남,당진,당진사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/568000000122?administOrgCd=,당진사랑상품권 운영 및 안내,,,충청남도 당진시,○ 당진사랑상품권 가맹 신청   - 사업자 등록증 사본 1부   - 대표자 명의 계좌 사본 1부,"주민센터,시·군·구청","주민센터,시·군·구청",이용권,○ 당진사랑상품권 가맹점 등록  ○ 당진사랑상품권 이용 안내,정보 없음,○ 당진사랑상품권 가맹을 원하는 소상공인  ○ 당진사랑상품권 구입자,상시신청,"○ 방문 신청   - 행정청 : 당진시청, 읍면동 행정복지센터",지역경제과 (☎041-350-4019)
경남,거제,거제사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/537000000132?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,경상남도 거제시,정보 없음,지역농협,지역농협,이용권,○ 소비자 - 지류 또는 모바일 상품권을 5~10%의 할인금액으로 구매   - 연말정산시 소득공제    ○ 가맹점   - 카드수수료 절감,정보 없음,○ 사용자가 직접 구입하여 거제시 관내 가맹점에서 사용가능   - 사용자의 거주지 상관없이 구입 가능   - 미셩년자 제외,상시신청,"○ 온라인 신청   - 농협올원뱅크나 제로페이앱을 설치, 회원가입 후 구매가능    ○ 방문 신청   - 기타 : 거제시 관내 농협",지역경제과 (☎055-639-4113)
강원,삼척,삼척사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/424000000174?administOrgCd=,삼척사랑카드로 결제 시 구매금액의 10% 인센티브 지급,,,강원특별자치도 삼척시,정보 없음,"농협은행, 농축협, 새마을금고","농협은행, 농축협, 새마을금고",기타,삼척사랑카드로 결제 시 구매금액의 10% 인센티브 지급,정보 없음,○ 카드형  - 만 14세 이상 삼척사랑카드 발급 가능    ○ 지류형  - 만 14세 이상 삼척사랑상품권 구매 가능,상시신청,"○ 온라인 신청(카드형)   - 스마트폰에서 '그리고' 어플 다운로드 후 회원가입   - 절차에 따라 삼척사랑카드 발급 및 충전 후 사용    ○ 방문 신청   - 기타 : 삼척시 관내 농협, 새마을금고, 신협을 방문해 삼척사랑카드 발급 및 충전 가능(카드형)   - 기타 : 삼척시 관내 농협, 새마을금고, 신협을 방문해 삼척사랑상품권 구매 가능(지류형)",경제과 (☎033-570-3359)
경북,포항,포항사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/502000000212?administOrgCd=,포항사랑상품권 구매자에게 5~10% 할인혜택 지원,,,경상북도 포항시,정보 없음,포항시 소재의 164개소 판매대행점,포항시 소재의 164개소 판매대행점,이용권,○ 소비자   - 구입 충전 시 5~10% 할인     ※ 할인혜택은 정책에 따라 변동될 수 있음,정보 없음,○ 지류형 포항사랑상품권 - 만19세이상이면 누구든지 구입 가능  ○ 카드형 포항사랑상품권(포항사랑카드)   - 만14세이상이면 누구든지 발급 가능,상시신청,"○ 온라인 신청 (포항사랑카드)   1. 스마트폰에서 IM샵 앱을 다운로드 한 후, 회원가입 후 충전행사일 충전가능   2. 포항시 소재 오프라인 충전처 (104개소)를 통해 등록 및 충전행사일 충전가능     ○ 방문 신청   - 기타 : 포항시 소재의 164개소 판매대행점 (포항사랑상품권)",포항시 경제노동과 (☎054-270-2473)
전북,전주,전주사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/464000000109?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에는 매출증대 등 지원",,,전북특별자치도 전주시,정보 없음,전주시 소재의 전북은행,전주시 소재의 전북은행,이용권,"○ 소비자   - 상품권 결제금액의 10% 캐시백, 연말정산 시 소득공제 30%, 가맹점 제공 추가할인혜택   ※ 할인혜택은 시도 정책에 따라 변동될 수 있음    ○ 가맹점 - 지역 내 소비촉진을 통한 매출증대, 추가할인을 통한 가맹점 홍보효과",정보 없음,○ 만 14세 이상이면 누구든지 발급 가능,상시신청,○ 방문 신청   - 기타 : 전주시 소재 전북은행  ○ 온라인 신청   - 전주사랑상품권 플랫폼(앱),경제산업국 민생사회적경제과 (☎063-281-2514)
충남,보령,보령사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/451000000140?administOrgCd=,"○ 보령사랑상품권(지류, 모바일) 구매 시 10% 이내 할인(예산 상황에 따라 변동)",,,충청남도 보령시,사업자등록증 사본 1부,판매대행점 및 온라인(Chak),판매대행점 및 온라인(Chak),이용권,"○ 보령사랑상품권(지류, 모바일) 구매 시 10% 이내 할인(예산 상황에 따라 변동)  ○ 월 구매한도(지류, 모바일): 1인당 총 70만원 이내(예산 상황에 따라 변동)",정보 없음,○ 만19세 이상 성년,상시신청,○ 온라인 신청 - 판매대행점 및 온라인(Chak) 구매,보령시청 지역경제과 (☎041-930-3715)
충북,충주,충주사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/439000000841?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,충청북도 충주시,정보 없음,충주사랑상품권 판매대행점(충주시 금융기관 81개소 ),충주사랑상품권 판매대행점(충주시 금융기관 81개소 ),이용권,"○ 소비자   - 구입 충전 시 6~10%할인, 연말정산 시 소득공제 30%   ※ 할인혜택은 시 정책에 따라 변동될 수 있음    ○ 가맹점 - 카드수수료 부담감소, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상이면 누구든지 지류형 구매 및 카드형 발급·충전 가능,상시신청,○ 방문 신청   - 기타 : 충주사랑상품권 판매대행점(충주시 금융기관 81개소 )  ○ 충주사랑상품권 전용앱   - 전용앱을 통한 충주사랑상품권(카드형) 발급 신청,경제기업과 (☎043-850-6016)경제기업과 (☎043-850-6014)
충남,아산,아산페이,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/452000000170?administOrgCd=,모바일 만 14세이상(지류 만 19세 상) 누구나 아산페이 구매 시 최대 10% 할인 지원,,,충청남도 아산시,정보 없음,"지역농협, 신협, 우체국, 새마을금고","지역농협, 신협, 우체국, 새마을금고",이용권,○ 아산페이 구매 시 10% 할인,정보 없음,○ 지류 상품권 구매 : 만19세이상 누구나    ○ 모바일 앱설치 및 카드발급 : 만14세이상 누구나,상시신청,"○ 방문 신청   - 지류: 아산시 소재의 농협,신협, 우체국, 새마을금고 / 모바일: 지역상품권chak앱 통한 구매",아산시 지역경제과 (☎041-530-6505)
전남,순천,순천사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/482000000125?administOrgCd=,순천사랑상품권 구매자에게 혜택 지원,,,전라남도 순천시,정보 없음,"지역농협, 순천농협, 원협, 축협, 낙협","지역농협, 순천농협, 원협, 축협, 낙협",이용권,○ 순천사랑상품권 발행 및 판매,정보 없음,○ (상품권구입) 만19세 이상 누구나    ○ (가맹점신청) 제한업종 외 순천시 관내 모든업소,상시신청,"○ 방문 신청   - 기타 : 농협은행, 순천농협, 원협, 축협, 낙협",지역경제팀 (☎061-749-5895)
인천,동구,동구사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/350000000101?administOrgCd=,"소비자에게 할인 혜택, 가맹점에는 카드수수료 절감 혜택 등 제공",,,인천광역시 동구,"○ 판매대행점(판매 협약된 신협, 새마을금고, 농협) 방문시 신분증 지참",정보 없음,정보 없음,기타,"○ 소비자 : 구입시 6% 할인 구매    ○ 가맹점 : 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,"○ 동구 소재 시장 및 소상공인, 동구 및 인근주민",상시신청,○ 방문 신청   - 기타 : 관내 판매대행점에서 구입시 할인적용,일자리경제과 (☎032-770-6383)
충남,태안,태안사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/462000000343?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점 매출 증대 효과",,,충청남도 태안군,#NAME?,관내 태안사랑상품권 판매대행점(은행 등),관내 태안사랑상품권 판매대행점(은행 등),이용권,"○ 소비자   - 구입 충전 시 10%할인, 연말정산 시 소득공제 30%   ※ 할인혜택은 정책에 따라 변동될 수 있음    ○ 가맹점 - 홍보효과, 가맹점 매출증대",정보 없음,○ 관내 상품권 할인구매 희망자,상시신청,○ 방문 신청   - 기타 : 관내 태안사랑상품권 판매대행점(은행 등),경제진흥과 (☎041-670-2850)
전북,군산,군산사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/467000000113?administOrgCd=,군산사랑상품권 구매자에게 10% 이내 선할인 혜택 지원,,,전북특별자치도 군산시,신분증 등,"군산시 소재의 농협, 전북은행, 신협, 새마을금고 각지점 (74개)","군산시 소재의 농협, 전북은행, 신협, 새마을금고 각지점 (74개)",이용권,○ 군산사랑상품권 구매시 10% 이내 선할인,정보 없음,○ 군산사랑상품권 구매자,상시신청,"○ 방문 신청   - 기타 : 농협,전북은행,신협,새마을금고 각지점 (74개)",일자리경제과 (☎063-454-2662)
경남,김해,김해사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/535000000182?administOrgCd=,김해사랑상품권 구입자에게 7% 할인 지원,,,경상남도 김해시,정보 없음,(재)한국간편결제진흥원 (김해사랑상품권 운영대행사),정보 없음,이용권,○ 김해사랑상품권 7%할인 (1인 개인구매한도 30만원)     ※ 발행상황에 따라 할인혜택 및 구매한도 변경 가능,정보 없음,○ 김해사랑상품권 구입자,"매 분기 및 명절이 속한 월의 첫번째 평일 오전 11시, 오후 2시 발행","○ 모바일 어플을 통한 구매 (비플제로페이, 경남지역사랑상품권, 각종 은행어플 등)",민생경제과 (☎055-330-3420)
전남,담양,담양사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/485000000111?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,전라남도 담양군,○ 상품권 구입 희망자 신분증,금융기관,금융기관,이용권,"○ 최초발행일 : 2007. 08. 01. ○ 종 류   - 지류형 : 1만원권, 3만원권, 5만원권   - 카드형 : 모바일 앱(Chak) 연동 실물카드   ※ 모바일 상품권 결제시스템 사용    ○ 판매점   - 지류형 : 관내 금융기관 27개소(우체국, 광주은행 제외)   - 카드형 : 농협, 신협, 새마을금고, 모바일 앱-Chak ○ 구매방법 - 지류형 : 금융기관 직접 방문구매(신분증 지참. 본인만가능)   - 카드형 : 금융기관 직접 방문 또는 모바일 앱(Chak) 가입 후 신청 ○ 기타사항 - 상품권 특별할인(개인 10%, 법인 2%), 현금영수증 가능 ※ 할인혜택 가능   - 가맹점 환전수수료 없음.",정보 없음,○ 상품권 구입 희망자,상시신청,"<담양사랑상품권(지류)>  ○ 방문 신청   - 담양군 관내 소재 금융기관에서 구입(우체국, 광주은행 제외)    <담양사랑상품권(카드)>  ○ 방문 신청   - 담양군 관내 농협, 새마을금고, 신협 방문 신청  ○ 온라인 신청 - 스마트폰 앱 'Chak'을 다운로드 후 회원가입 및 카드신청(계좌연동, 상품권 구입)",경제교통과 (☎061-380-3124)
전남,해남,해남사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/493000000132?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,전라남도 해남군,정보 없음,9개 금융기관 35개 대행기관,9개 금융기관 35개 대행기관,이용권,"○ 소비자   - 구입시 5~10%할인구매(한도: 월 50~70만원, 특별한 경우 100만원), 연말정산 시 소득공제 30% ※ 할인혜택은 특판행사에 따라 변동될 수 있음    ○ 가맹점 - 지류상품권 결제시 카드수수료 절감, 가맹점 매출증대",정보 없음,"○ 지류 상품권: 만 19세 이상 이면 누구든지 구매 가능    ○ 카드,QR 상품권: 만 14세 이상 이면 누구든지 구매 가능",상시신청,○ 방문 신청   - 기타 : 9개 금융기관 35개 대행기관,경제산업과 (☎061-530-5352)
경기,구리,구리사랑카드,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/398000000121?administOrgCd=,구리사랑카드를 이용하는 소비자에게 인센티브 및 소득공제 혜택 제공,,,경기도 구리시,정보 없음,"구리시 소재의 NH농협은행, 단위 농축협(원예농협제외), MG새마을금고, 신협","구리시 소재의 NH농협은행, 단위 농축협(원예농협제외), MG새마을금고, 신협",이용권,○ 소비자   - 카드 충전 시 상시 5~8% 또는 특별 10% 인센티브 제공   - 연말정산 시 소득공제 30%   ※ 인센티브 지급률 및 1인 월구매한도는 예산에 따라 변동됨,정보 없음,○ 일반발행 : 누구나 신청가능    ○ 정책발행 : 대상자에 한해 신청가능,상시신청,"○ 온라인 신청  1. 스마트폰에서 ""경기지역화폐"" 앱 다운로드 2. 절차에 따라 '카드신청' 및 '개인정보 등록'    ○ 방문 신청   - 기타 : 구리시 소재의 NH농협은행, 단위 농축협(원예농협제외), MG새마을금고, 신협",일자리경제과 (☎031-550-2275)
경남,고성,고성사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/542000000132?administOrgCd=,고성사랑상품권 구매자에게 10% 할인 적용(매월 예산 소진 시 까지),,,경상남도 고성군,"(지류) 구매신청서, 신분증, 휴대폰 또는 카드를 통한 본인인증",시·군·구청,시·군·구청,이용권,"○ 소비자   - 구입 충전 시 10%할인    ○ 가맹점 - 홍보효과, 가맹점 매출증대",정보 없음,"○ 지류: 만 19세 이상, 본인인증 필수  ○ 모바일, 카드: 만 14세 이상, 본인인증 필수","(모바일, 카드) 매월 1일 (지류) 매월 첫번째 평일 *예산소진 시, 판매종료","○ 온라인 신청   - (모바일)스마트폰에서 제로페이 연결 어플 설치 후, 상품권 구매   - (카드)스마트폰에서 지역사랑상품권 chak 어플 설치 후, 회원가입 진행 및 카드 신청    ○ 방문 신청   - (지류)고성군 관내 금융기관(우체국 제외)   - (카드)관내 농협, 신협",고성군 경제기업과 (☎055-670-2304)
경남,거창,거창사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/547000000129?administOrgCd=,거창사랑상품권 구매자에게 10%의 할인 판매 지원,,,경상남도 거창군,"(종이형) 거창군 13개 판매대행점(은행) 방문시 신분증, 본인인증을 위한 본인명의의 휴대전화나 신용카드 지참하여 방문  (카드형) 모바일 앱(chak) 가입·신청 또는 판매대행점 방문 즉시 발급 - 판매대행 : 농 ·축협 본점 8개소*   * 거창군지부, 거창농협, 사과원예농협, 거창축협, 남거창농협, 동거창농협, 북부농협, 수승대농협 (모바일) 모바일상품권 관련 앱 설치 후 본인인증 후 구입",정보 없음,정보 없음,"현금(감면), 이용권",○ 거창사랑상품권 구매 지원서비스   - 거창사랑상품권 상시 할인(10%),정보 없음,○ 상품권 구매자 (종이형) 19세 이상(거창군민이 아니어도 구매 가능)   (카드형) 19세 이상(거창군민이 아니어도 구매 가능)   (모바일) 14세 이상(거창군민이 아니어도 구매 가능),상시신청,"○ 종이상품권(방문 신청)   거창사랑상품권 판매대행점 13개 은행 본인직접 방문하여 구매(상시구매 가능)  ○카드형상품권 모바일 앱(chak) 가입·신청 또는 판매대행점 방문 즉시 발급 - 판매대행 : 농 ·축협 본점 8개소*   * 거창군지부, 거창농협, 사과원예농협, 거창축협, 남거창농협, 동거창농협, 북부농협, 수승대농협  ○ 모바일상품권(본인명의 휴대전화)   모바일상품권 앱 설치 후 본인인증하여 구매(매월 1일, 10시부터 판매)",거창군 경제기업과 (☎055-940-3682)
